locus_tag	ftype	length_bp	gene	EC_number	COG	product
EFAJBHHO_00001	CDS	672	bshB1_1	3.5.1.-	COG2120	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
EFAJBHHO_00002	CDS	963	tauA		COG4521	Taurine-binding periplasmic protein
EFAJBHHO_00003	CDS	768	tauB	3.6.3.36	COG4525	Taurine import ATP-binding protein TauB
EFAJBHHO_00004	CDS	828	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
EFAJBHHO_00005	CDS	852	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
EFAJBHHO_00006	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
EFAJBHHO_00007	CDS	2988	prn		COG3468	Pertactin autotransporter
EFAJBHHO_00008	CDS	624				hypothetical protein
EFAJBHHO_00009	CDS	1158	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
EFAJBHHO_00010	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
EFAJBHHO_00011	CDS	1095				hypothetical protein
EFAJBHHO_00012	CDS	309	yaiY			Inner membrane protein YaiY
EFAJBHHO_00013	CDS	213				hypothetical protein
EFAJBHHO_00014	CDS	1095	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
EFAJBHHO_00015	CDS	261	iraP			Anti-adapter protein IraP
EFAJBHHO_00016	CDS	1416	phoA	3.1.3.1	COG1785	Alkaline phosphatase
EFAJBHHO_00017	CDS	321	psiF			Phosphate starvation-inducible protein PsiF
EFAJBHHO_00018	CDS	1116	dgcC	2.7.7.65		putative diguanylate cyclase DgcC
EFAJBHHO_00019	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
EFAJBHHO_00020	CDS	459				hypothetical protein
EFAJBHHO_00021	CDS	525	aroL	2.7.1.71	COG0703	Shikimate kinase 2
EFAJBHHO_00022	CDS	192	yaiA			putative protein YaiA
EFAJBHHO_00023	CDS	678				hypothetical protein
EFAJBHHO_00024	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
EFAJBHHO_00025	CDS	183				hypothetical protein
EFAJBHHO_00026	CDS	978	rdgC		COG2974	Recombination-associated protein RdgC
EFAJBHHO_00027	CDS	909	mak_1	2.7.1.4	COG1940	Fructokinase
EFAJBHHO_00028	CDS	1269	araJ		COG2814	Putative transporter AraJ
EFAJBHHO_00029	CDS	3144	sbcC		COG0419	Nuclease SbcCD subunit C
EFAJBHHO_00030	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
EFAJBHHO_00031	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
EFAJBHHO_00032	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
EFAJBHHO_00033	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
EFAJBHHO_00034	CDS	1374	proY		COG1113	Proline-specific permease ProY
EFAJBHHO_00035	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
EFAJBHHO_00036	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
EFAJBHHO_00037	CDS	1071	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
EFAJBHHO_00038	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
EFAJBHHO_00039	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
EFAJBHHO_00040	CDS	1815	secD		COG0342	Protein translocase subunit SecD
EFAJBHHO_00041	CDS	972	secF		COG0341	Protein translocase subunit SecF
EFAJBHHO_00042	CDS	348				hypothetical protein
EFAJBHHO_00043	CDS	885	tsx_1		COG3248	Nucleoside-specific channel-forming protein Tsx
EFAJBHHO_00044	CDS	540	yajI			putative lipoprotein YajI
EFAJBHHO_00045	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
EFAJBHHO_00046	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
EFAJBHHO_00047	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
EFAJBHHO_00048	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
EFAJBHHO_00049	CDS	978	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
EFAJBHHO_00050	CDS	519	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
EFAJBHHO_00051	CDS	975	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
EFAJBHHO_00052	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
EFAJBHHO_00053	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
EFAJBHHO_00054	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
EFAJBHHO_00055	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
EFAJBHHO_00056	CDS	591	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
EFAJBHHO_00057	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
EFAJBHHO_00058	CDS	492				hypothetical protein
EFAJBHHO_00059	CDS	1365	yajR		COG0477	Inner membrane transport protein YajR
EFAJBHHO_00060	CDS	891	cyoE	2.5.1.-	COG0109	Protoheme IX farnesyltransferase
EFAJBHHO_00061	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
EFAJBHHO_00062	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
EFAJBHHO_00063	CDS	1992	cyoB	1.10.3.10	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
EFAJBHHO_00064	CDS	948	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
EFAJBHHO_00065	CDS	1476	ampG_1		COG0477	Protein AmpG
EFAJBHHO_00066	CDS	579				hypothetical protein
EFAJBHHO_00067	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
EFAJBHHO_00068	CDS	1290	tig	5.2.1.8		Trigger factor
EFAJBHHO_00069	CDS	624	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
EFAJBHHO_00070	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
EFAJBHHO_00071	CDS	2355	lon_1	3.4.21.53	COG0466	Lon protease
EFAJBHHO_00072	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
EFAJBHHO_00073	CDS	1872	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
EFAJBHHO_00074	CDS	372			COG1555	putative protein
EFAJBHHO_00075	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
EFAJBHHO_00076	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
EFAJBHHO_00077	CDS	1701	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
EFAJBHHO_00078	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
EFAJBHHO_00079	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
EFAJBHHO_00080	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
EFAJBHHO_00081	CDS	1782	mdlB	3.6.3.44	COG1132	Multidrug resistance-like ATP-binding protein MdlB
EFAJBHHO_00082	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
EFAJBHHO_00083	CDS	1287	amtB			Ammonia channel
EFAJBHHO_00084	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
EFAJBHHO_00085	CDS	573	ybaY		COG3126	putative lipoprotein YbaY
EFAJBHHO_00086	CDS	312	atl		COG3695	DNA base-flipping protein
EFAJBHHO_00087	CDS	354	ybaA		COG5507	putative protein YbaA
EFAJBHHO_00088	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
EFAJBHHO_00089	CDS	471	ylaC			Inner membrane protein YlaC
EFAJBHHO_00090	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
EFAJBHHO_00091	CDS	219	hha_1			Hemolysin expression-modulating protein Hha
EFAJBHHO_00092	CDS	375	tomB			Hha toxicity modulator TomB
EFAJBHHO_00093	CDS	3150	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
EFAJBHHO_00094	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
EFAJBHHO_00095	CDS	648	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
EFAJBHHO_00096	CDS	3363	mscK		COG3264	Mechanosensitive channel MscK
EFAJBHHO_00097	CDS	162				hypothetical protein
EFAJBHHO_00098	CDS	528	priC		COG3923	Primosomal replication protein N''
EFAJBHHO_00099	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
EFAJBHHO_00100	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
EFAJBHHO_00101	CDS	1932	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
