# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
SC80_RS00005	gene-SC80_RS00005	TRANSCRIPT_gene-SC80_RS00005	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
SC80_RS00040	gene-SC80_RS00040	TRANSCRIPT_gene-SC80_RS00040	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS00450	gene-SC80_RS00450	TRANSCRIPT_gene-SC80_RS00450	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS00585	gene-SC80_RS00585	TRANSCRIPT_gene-SC80_RS00585	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS00590	gene-SC80_RS00590	TRANSCRIPT_gene-SC80_RS00590	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS00605	gene-SC80_RS00605	TRANSCRIPT_gene-SC80_RS00605	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS00635	gene-SC80_RS00635	TRANSCRIPT_gene-SC80_RS00635	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SC80_RS00640	gene-SC80_RS00640	TRANSCRIPT_gene-SC80_RS00640	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS00645	gene-SC80_RS00645	TRANSCRIPT_gene-SC80_RS00645	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SC80_RS00650	gene-SC80_RS00650	TRANSCRIPT_gene-SC80_RS00650	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SC80_RS00800	gene-SC80_RS00800	TRANSCRIPT_gene-SC80_RS00800	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
